,precision,recall,f1-score,support
0,0.8333333333333334,0.6,0.6976744186046512,25.0
1,0.35294117647058826,0.41379310344827586,0.38095238095238093,29.0
2,0.5575221238938053,0.6631578947368421,0.6057692307692307,95.0
3,0.6047904191616766,0.40239043824701193,0.48325358851674644,251.0
4,0.8609566184649611,0.9314079422382672,0.8947976878612717,831.0
accuracy,0.7839155158407799,0.7839155158407799,0.7839155158407799,0.7839155158407799
macro avg,0.6419087342648728,0.6021498757340794,0.6124894613408561,1231.0
weighted avg,0.7727786956741312,0.7839155158407799,0.7724704189815048,1231.0
