,precision,recall,f1-score,support
0,0.6363636363636364,0.56,0.5957446808510639,25.0
1,0.39285714285714285,0.3793103448275862,0.3859649122807017,29.0
2,0.5647058823529412,0.5052631578947369,0.5333333333333333,95.0
3,0.6,0.4900398406374502,0.5394736842105262,251.0
4,0.8664421997755332,0.9290012033694344,0.8966318234610918,831.0
accuracy,0.7863525588952072,0.7863525588952072,0.7863525588952072,0.7863525588952072
macro avg,0.6120737722698507,0.5727229093458416,0.5902296868273434,1231.0
weighted avg,0.7729995734272506,0.7863525588952072,0.7776297369432112,1231.0
