,precision,recall,f1-score,support
0,0.5416666666666666,0.52,0.5306122448979592,25.0
1,0.5,0.10344827586206896,0.17142857142857143,29.0
2,0.5128205128205128,0.42105263157894735,0.4624277456647398,95.0
3,0.4845814977973568,0.43824701195219123,0.4602510460251046,251.0
4,0.84375,0.9097472924187726,0.8755066589461494,831.0
accuracy,0.7489845653939886,0.7489845653939886,0.7489845653939886,0.7489845653939886
macro avg,0.5765637354569073,0.47849904236239604,0.5000452533925049,1231.0
weighted avg,0.7307439653385475,0.7489845653939886,0.7353667072856046,1231.0
